SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
GJ,35˚2.88',128˚44.66',3,A,35,2.88,128,44.66,35.048,128.7443333,35.048,128.7443333,1
GJ,35˚2.77',128˚44.66',4,A,35,2.77,128,44.66,35.04616667,128.7443333,35.04616667,128.7443333,1
GJ,35˚2.66',128˚44.66',5,A,35,2.66,128,44.66,35.04433333,128.7443333,35.04433333,128.7443333,1
GJ,35˚2.56',128˚44.66',6,A,35,2.56,128,44.66,35.04266667,128.7443333,35.04266667,128.7443333,1
GJ,35˚2.45',128˚44.66',7,A,35,2.45,128,44.66,35.04083333,128.7443333,35.04083333,128.7443333,1
GJ,35˚2.34',128˚44.66',8,A,35,2.34,128,44.66,35.039,128.7443333,35.039,128.7443333,1
GJ,35˚2.23',128˚44.66',9,A,35,2.23,128,44.66,35.03716667,128.7443333,35.03716667,128.7443333,1
GJ,35˚2.12',128˚44.66',10,A,35,2.12,128,44.66,35.03533333,128.7443333,35.03533333,128.7443333,1
GJ,35˚2.02',128˚44.66',11,A,35,2.02,128,44.66,35.03366667,128.7443333,35.03366667,128.7443333,1
GJ,35˚1.91',128˚44.66',12,A,35,1.91,128,44.66,35.03183333,128.7443333,35.03183333,128.7443333,1
GJ,35˚1.8',128˚44.66',13,A,35,1.8,128,44.66,35.03,128.7443333,35.03,128.7443333,1
GJ,35˚1.69',128˚44.66',14,A,35,1.69,128,44.66,35.02816667,128.7443333,35.02816667,128.7443333,1
GJ,35˚1.58',128˚44.66',15,A,35,1.58,128,44.66,35.02633333,128.7443333,35.02633333,128.7443333,1
